x_target,y_target,z_target,x_actual,y_actual,z_actual,j1,j2,j3,j4,j5,j6
192.34445931012402,20,140,194.4,32.0,136.7,28.74,-16.78,-104.5,27.59,-2.63,-59.5
200.07540256471722,20,140,191.3,35.1,132.8,30.93,-16.96,-113.99,44.2,-6.15,-51.76
193.2341585082402,20,140,195.4,34.0,136.8,30.05,-16.96,-107.4,33.92,-6.41,-66.26
190.8842222335018,20,140,192.2,24.1,135.2,26.98,-16.52,-115.04,47.1,-2.9,-66.62
206.33090071753023,20,140,197.8,25.9,138.3,26.01,-17.75,-103.71,29.7,-0.08,-57.83
190.16167812308288,20,140,190.3,28.0,140.5,28.47,-13.35,-106.69,26.54,-3.51,-68.29
199.8790416553638,20,140,203.0,20.8,138.3,22.14,-21.09,-97.2,24.25,7.82,-66.7
195.44937733376176,20,140,198.1,22.8,134.0,25.31,-19.68,-111.0,45.96,-0.79,-68.2
195.44937733376176,20,140,188.1,17.6,135.9,26.1,-13.35,-116.36,42.8,-4.39,-72.59
195.44937733376176,20,140,181.7,27.9,138.0,29.61,-10.19,-116.71,37.52,-2.63,-67.23
195.44937733376176,20,140,194.6,28.2,138.7,27.68,-15.99,-105.02,28.3,-2.54,-53.34
195.44937733376176,20,140,188.8,28.7,137.4,29.7,-13.44,-114.52,40.42,-6.67,-62.22
195.44937733376176,20,140,187.8,26.1,137.4,28.47,-13.09,-115.04,40.78,-3.95,-55.28
195.44937733376176,20,140,184.6,27.1,140.4,28.47,-10.72,-110.91,29.09,-0.96,-67.85
195.44937733376176,20,140,198.1,24.3,139.5,24.52,-18.89,-95.44,15.46,4.13,-61.17
195.44937733376176,20,140,189.2,18.1,139.3,26.19,-12.3,-111.44,33.04,-4.83,-57.65
195.44937733376176,20,140,191.7,30.1,134.4,25.13,-17.92,-104.76,28.56,11.6,-58.88
195.44937733376176,20,140,187.3,12.3,139.3,23.11,-11.95,-109.95,29.17,1.49,-61.69
195.44937733376176,20,140,196.5,19.9,140.2,25.4,-16.52,-99.14,17.92,-3.6,-70.13
195.44937733376176,20,140,194.9,16.6,137.6,22.93,-16.61,-107.57,34.62,3.25,-71.89
195.44937733376176,20,140,180.9,26.4,139.4,28.03,-9.66,-111.09,26.1,2.1,-54.66
195.44937733376176,20,140,191.9,22.1,141.7,25.75,-13.88,-104.85,24.96,-0.08,-59.41
195.44937733376176,20,140,200.3,16.5,132.8,21.18,-21.88,-108.72,45.7,8.17,-63.89
195.44937733376176,20,140,184.2,20.8,145.5,26.19,-9.4,-106.17,19.59,1.05,-62.84
195.44937733376176,20,140,189.0,21.2,140.8,26.98,-12.3,-105.64,21.79,-4.3,-64.86
195.44937733376176,20,140,188.0,18.1,141.8,25.13,-11.86,-105.9,22.23,-0.08,-66.18
195.44937733376176,20,140,186.1,14.3,138.9,26.27,-10.45,-114.96,35.41,-7.82,-62.4
204.92916747026874,20,140,208.6,15.9,133.3,19.95,-24.96,-99.66,35.85,9.05,-79.54
